submission #,first name,last name,email,country,affiliation,Web page,person #,corresponding?
1,Rebecca,Torres,dawn19@example.org,Samoa,Kind public begin,http://clements.biz/,1,yes
2,Carmen,Green,ijones@example.com,Burundi,Half discover try man,https://hill-patrick.com/,2,no
2,Charlene,Contreras,lbailey@example.net,Falkland Islands (Malvinas),Nearly consider,http://www.harris.org/,3,yes
2,Andrew,Kaiser,adam45@example.net,Jersey,During many their,http://www.chavez.net/,4,no
3,Michael,Harris,ybuck@example.net,French Polynesia,Great member player us program,https://www.fowler.com/,5,yes
4,Amber,Allen,boyddavid@example.net,Egypt,Hit for,http://www.martinez.com/,6,no
4,Kristi,Harrison,billycummings@example.net,Mongolia,Respond production fear until claim,https://www.good.com/,7,no
4,Nicole,Moore,enelson@example.org,Maldives,Table mother fly,http://www.anderson.com/,8,yes
4,Christopher,Oneill,deniseboyd@example.net,United States Minor Outlying Islands,Husband receive fire,http://www.mills-flores.org/,9,no
4,Christopher,Tanner,wubonnie@example.org,Serbia,Third west floor,http://www.davis.com/,10,no
5,Alicia,Lambert,laura31@example.com,Hungary,Goal soldier special probably,https://buckley-tucker.com/,11,no
5,Kevin,Williams,james42@example.net,Guatemala,Surface argue gun difficult,http://www.hancock-mejia.com/,12,yes
6,Jennifer,White,williamsjonathan@example.com,Korea,Rest our themselves bed,https://kelly-mercer.org/,13,yes
7,Mr.,Nathan,kingbrian@example.net,Ireland,Begin stage,http://daniels-taylor.net/,14,no
7,Michele,Carr,christinemurray@example.net,Svalbard & Jan Mayen Islands,Crime population could many financial,http://www.carter.com/,15,no
7,David,Schultz,christopher45@example.com,United Arab Emirates,Agree realize perform,https://gonzalez.info/,16,yes
8,Andrew,Leach,wevans@example.org,Armenia,Should drug yourself to,http://randall.com/,17,yes
8,Charles,Wallace,alisonvaughn@example.org,Djibouti,Character star whom,http://www.smith-chavez.com/,18,no
9,Richard,Larson,allenjacob@example.org,Syrian Arab Republic,All education,https://taylor.com/,19,yes
9,William,Henry,hmurphy@example.com,Congo,Thing buy threat power no,http://barnett.com/,20,no
9,Diamond,Ali,patrick47@example.net,Libyan Arab Jamahiriya,Human full fear,https://elliott-lewis.com/,21,no
9,Jill,Jacobs,taylorwilliam@example.net,New Zealand,Watch card,http://www.singleton-simmons.info/,22,no
10,Jeffrey,Fuller,wmeyers@example.com,Qatar,Toward series hour,https://www.ramirez.net/,23,no
10,Kimberly,Brown,hvasquez@example.net,Belgium,Mission build those,http://martin-floyd.net/,24,no
10,Marcus,Anderson,richard92@example.net,Tokelau,Finally information,https://www.parker-stewart.info/,25,yes
11,Patricia,Phillips,brandonjordan@example.net,Turkmenistan,Law fact,http://reynolds.com/,26,yes
12,Michael,Owens,cooperrobert@example.com,Saint Helena,Plant your inside everybody discuss,https://www.elliott.com/,27,yes
12,Mark,Christian,judy59@example.net,Czech Republic,Property follow,https://carpenter.com/,28,no
13,Nathan,Rivera,jessica60@example.org,Poland,Speech thought decide behind,https://www.williams-garner.info/,29,no
13,Jessica,Simpson,moodyjohn@example.net,Bahamas,Begin bag too long,http://moses.org/,30,yes
