member #,member name,submission #,bid
2,Meredith Lee,202,yes
2,Meredith Lee,204,yes
2,Meredith Lee,344,yes
2,Meredith Lee,376,yes
2,Meredith Lee,422,yes
2,Meredith Lee,425,yes
2,Meredith Lee,484,yes
2,Meredith Lee,524,yes
2,Meredith Lee,565,yes
2,Meredith Lee,575,yes
2,Meredith Lee,607,yes
2,Meredith Lee,624,yes
2,Meredith Lee,777,yes
2,Meredith Lee,778,yes
2,Meredith Lee,782,yes
2,Meredith Lee,832,yes
2,Meredith Lee,896,yes
3,Andrew Robertson,147,yes
3,Andrew Robertson,205,yes
3,Andrew Robertson,215,maybe
3,Andrew Robertson,304,maybe
3,Andrew Robertson,332,yes
3,Andrew Robertson,380,maybe
3,Andrew Robertson,381,yes
3,Andrew Robertson,541,yes
3,Andrew Robertson,571,yes
3,Andrew Robertson,587,yes
3,Andrew Robertson,612,maybe
3,Andrew Robertson,676,maybe
3,Andrew Robertson,711,yes
3,Andrew Robertson,755,maybe
3,Andrew Robertson,761,yes
3,Andrew Robertson,789,yes
3,Andrew Robertson,926,yes
3,Andrew Robertson,946,yes
2178,Elizabeth Barnett,8,maybe
2178,Elizabeth Barnett,210,maybe
2178,Elizabeth Barnett,230,yes
2178,Elizabeth Barnett,247,yes
2178,Elizabeth Barnett,362,maybe
2178,Elizabeth Barnett,447,maybe
2178,Elizabeth Barnett,453,yes
2178,Elizabeth Barnett,495,maybe
2178,Elizabeth Barnett,497,maybe
2178,Elizabeth Barnett,564,yes
2178,Elizabeth Barnett,596,maybe
2178,Elizabeth Barnett,602,maybe
2178,Elizabeth Barnett,625,maybe
2178,Elizabeth Barnett,682,maybe
2178,Elizabeth Barnett,775,maybe
2178,Elizabeth Barnett,793,yes
2178,Elizabeth Barnett,881,yes
2178,Elizabeth Barnett,921,yes
5,Scott Obrien,67,maybe
5,Scott Obrien,159,maybe
5,Scott Obrien,213,yes
5,Scott Obrien,262,maybe
5,Scott Obrien,291,maybe
5,Scott Obrien,348,yes
5,Scott Obrien,350,maybe
5,Scott Obrien,440,yes
5,Scott Obrien,459,yes
5,Scott Obrien,482,maybe
5,Scott Obrien,490,maybe
5,Scott Obrien,551,maybe
5,Scott Obrien,686,yes
5,Scott Obrien,706,yes
5,Scott Obrien,800,maybe
5,Scott Obrien,811,maybe
5,Scott Obrien,897,yes
5,Scott Obrien,900,yes
5,Scott Obrien,927,yes
5,Scott Obrien,973,yes
5,Scott Obrien,976,maybe
5,Scott Obrien,977,yes
6,Thomas Garcia,48,yes
6,Thomas Garcia,130,maybe
6,Thomas Garcia,145,yes
6,Thomas Garcia,147,maybe
6,Thomas Garcia,249,yes
6,Thomas Garcia,290,maybe
6,Thomas Garcia,326,yes
6,Thomas Garcia,364,maybe
6,Thomas Garcia,460,yes
6,Thomas Garcia,498,maybe
6,Thomas Garcia,542,yes
6,Thomas Garcia,620,yes
6,Thomas Garcia,623,maybe
6,Thomas Garcia,625,yes
6,Thomas Garcia,731,yes
6,Thomas Garcia,847,yes
6,Thomas Garcia,980,yes
7,Allen Pratt,34,yes
7,Allen Pratt,76,maybe
7,Allen Pratt,95,yes
7,Allen Pratt,104,yes
7,Allen Pratt,157,yes
7,Allen Pratt,188,yes
7,Allen Pratt,200,yes
7,Allen Pratt,258,yes
7,Allen Pratt,294,maybe
7,Allen Pratt,484,yes
7,Allen Pratt,497,yes
7,Allen Pratt,529,maybe
7,Allen Pratt,642,yes
7,Allen Pratt,686,maybe
7,Allen Pratt,769,maybe
7,Allen Pratt,816,maybe
7,Allen Pratt,858,yes
7,Allen Pratt,876,maybe
8,Brian Booker,212,yes
8,Brian Booker,222,yes
8,Brian Booker,240,maybe
8,Brian Booker,246,yes
8,Brian Booker,258,yes
8,Brian Booker,332,yes
8,Brian Booker,336,yes
8,Brian Booker,488,yes
8,Brian Booker,518,maybe
8,Brian Booker,543,yes
8,Brian Booker,570,maybe
8,Brian Booker,684,yes
8,Brian Booker,763,maybe
8,Brian Booker,771,maybe
8,Brian Booker,912,maybe
9,Brian Greene,2,maybe
9,Brian Greene,298,yes
9,Brian Greene,369,maybe
9,Brian Greene,375,maybe
9,Brian Greene,453,yes
9,Brian Greene,458,maybe
9,Brian Greene,463,yes
9,Brian Greene,639,maybe
9,Brian Greene,658,yes
9,Brian Greene,744,maybe
9,Brian Greene,750,maybe
9,Brian Greene,758,maybe
9,Brian Greene,912,maybe
9,Brian Greene,926,maybe
9,Brian Greene,966,maybe
9,Brian Greene,975,maybe
10,Aaron Grant,26,yes
10,Aaron Grant,112,yes
10,Aaron Grant,142,yes
10,Aaron Grant,211,yes
10,Aaron Grant,223,maybe
10,Aaron Grant,290,maybe
10,Aaron Grant,291,maybe
10,Aaron Grant,303,yes
10,Aaron Grant,361,yes
10,Aaron Grant,377,maybe
10,Aaron Grant,408,maybe
10,Aaron Grant,438,yes
10,Aaron Grant,645,yes
10,Aaron Grant,656,yes
10,Aaron Grant,657,yes
10,Aaron Grant,674,yes
10,Aaron Grant,753,yes
10,Aaron Grant,825,maybe
10,Aaron Grant,826,maybe
10,Aaron Grant,828,maybe
10,Aaron Grant,895,yes
11,Austin Hooper,11,yes
11,Austin Hooper,166,maybe
11,Austin Hooper,208,maybe
11,Austin Hooper,218,maybe
11,Austin Hooper,349,yes
11,Austin Hooper,397,maybe
11,Austin Hooper,460,yes
11,Austin Hooper,474,maybe
11,Austin Hooper,475,maybe
