member #,member name,topic
1,Lori Hamilton,Data Visualisation and Summarisation
1,Lori Hamilton,Sentence-Level Semantics and Textual Inference
1,Lori Hamilton,"Constraints, Data Mining, and Machine Learning"
1,Lori Hamilton,Game Playing
1,Lori Hamilton,Digital Democracy
1,Lori Hamilton,Vision and Language
2,Meredith Lee,"Sentiment Analysis, Stylistic Analysis, and Argument Mining"
2,Meredith Lee,Agent Theories and Models
2,Meredith Lee,Multiagent Planning
2,Meredith Lee,Other Topics in Planning and Search
2,Meredith Lee,Agent-Based Simulation and Complex Systems
2,Meredith Lee,Human-Aware Planning and Behaviour Prediction
2,Meredith Lee,Environmental Impacts of AI
2,Meredith Lee,Interpretability and Analysis of NLP Models
3,Andrew Robertson,Distributed Machine Learning
3,Andrew Robertson,Explainability (outside Machine Learning)
3,Andrew Robertson,Planning and Machine Learning
3,Andrew Robertson,Neuro-Symbolic Methods
3,Andrew Robertson,Probabilistic Programming
3,Andrew Robertson,Partially Observable and Unobservable Domains
3,Andrew Robertson,Sentence-Level Semantics and Textual Inference
3,Andrew Robertson,Video Understanding and Activity Analysis
3,Andrew Robertson,Visual Reasoning and Symbolic Representation
4,Elizabeth Barnett,"Model Adaptation, Compression, and Distillation"
4,Elizabeth Barnett,Conversational AI and Dialogue Systems
4,Elizabeth Barnett,Robot Manipulation
4,Elizabeth Barnett,Robot Planning and Scheduling
4,Elizabeth Barnett,Other Topics in Humans and AI
4,Elizabeth Barnett,Mixed Discrete and Continuous Optimisation
4,Elizabeth Barnett,Qualitative Reasoning
5,Scott Obrien,Human-Machine Interaction Techniques and Devices
5,Scott Obrien,"Continual, Online, and Real-Time Planning"
5,Scott Obrien,Robot Rights
5,Scott Obrien,Robot Manipulation
5,Scott Obrien,Marketing
5,Scott Obrien,Active Learning
5,Scott Obrien,Databases
6,Thomas Garcia,Anomaly/Outlier Detection
6,Thomas Garcia,Philosophy and Ethics
6,Thomas Garcia,Information Retrieval
6,Thomas Garcia,Cognitive Robotics
6,Thomas Garcia,Quantum Machine Learning
6,Thomas Garcia,Partially Observable and Unobservable Domains
6,Thomas Garcia,Mining Heterogeneous Data
6,Thomas Garcia,3D Computer Vision
7,Allen Pratt,Other Topics in Knowledge Representation and Reasoning
7,Allen Pratt,Robot Manipulation
7,Allen Pratt,Distributed Problem Solving
7,Allen Pratt,Evaluation and Analysis in Machine Learning
7,Allen Pratt,Mixed Discrete/Continuous Planning
7,Allen Pratt,Other Topics in Uncertainty in AI
7,Allen Pratt,Scheduling
8,Brian Booker,Reinforcement Learning Theory
8,Brian Booker,Constraint Programming
8,Brian Booker,Multi-Robot Systems
8,Brian Booker,Agent-Based Simulation and Complex Systems
8,Brian Booker,AI for Social Good
8,Brian Booker,Lexical Semantics
8,Brian Booker,Machine Learning for NLP
8,Brian Booker,Morality and Value-Based AI
8,Brian Booker,Deep Reinforcement Learning
8,Brian Booker,Human-Aware Planning and Behaviour Prediction
9,Brian Greene,Satisfiability Modulo Theories
9,Brian Greene,Algorithmic Game Theory
9,Brian Greene,Robot Planning and Scheduling
9,Brian Greene,Clustering
9,Brian Greene,"Conformant, Contingent, and Adversarial Planning"
9,Brian Greene,Morality and Value-Based AI
9,Brian Greene,Lifelong and Continual Learning
10,Aaron Grant,Efficient Methods for Machine Learning
10,Aaron Grant,"Model Adaptation, Compression, and Distillation"
10,Aaron Grant,Discourse and Pragmatics
10,Aaron Grant,Computer Games
10,Aaron Grant,Algorithmic Game Theory
10,Aaron Grant,Summarisation
10,Aaron Grant,Non-Monotonic Reasoning
11,Austin Hooper,Robot Rights
11,Austin Hooper,Stochastic Models and Probabilistic Inference
11,Austin Hooper,Machine Learning for NLP
11,Austin Hooper,Machine Learning for Computer Vision
11,Austin Hooper,Software Engineering
12,Sara Alexander,Mixed Discrete/Continuous Planning
12,Sara Alexander,Semantic Web
12,Sara Alexander,Machine Translation
12,Sara Alexander,Preferences
12,Sara Alexander,Speech and Multimodality
12,Sara Alexander,"Mining Visual, Multimedia, and Multimodal Data"
12,Sara Alexander,Large Language Models
13,John Wilson,Causal Learning
13,John Wilson,Heuristic Search
13,John Wilson,Personalisation and User Modelling
13,John Wilson,Routing
13,John Wilson,Other Topics in Computer Vision
14,Amber Blackwell,Health and Medicine
14,Amber Blackwell,Other Topics in Constraints and Satisfiability
14,Amber Blackwell,Human-Robot Interaction
14,Amber Blackwell,Classification and Regression
14,Amber Blackwell,Computer Games
14,Amber Blackwell,Privacy in Data Mining
14,Amber Blackwell,"Human-Computer Teamwork, Team Formation, and Collaboration"
14,Amber Blackwell,Summarisation
14,Amber Blackwell,Adversarial Attacks on CV Systems
14,Amber Blackwell,Active Learning
15,Jennifer Smith,Syntax and Parsing
15,Jennifer Smith,Data Compression
15,Jennifer Smith,Federated Learning
15,Jennifer Smith,Other Topics in Humans and AI
15,Jennifer Smith,Recommender Systems
15,Jennifer Smith,Multilingualism and Linguistic Diversity
16,Sarah Lambert,Semi-Supervised Learning
16,Sarah Lambert,Economic Paradigms
16,Sarah Lambert,Causality
16,Sarah Lambert,Constraint Programming
